Agent,Difficulty,Accuracy,F1_Score,Tool_Fail_Rate,Sample_Count
React,dễ,1.0,1.0,0.0,37
React,khó,0.9818181818181818,0.9814814814814815,0.018518518518518517,55
ReWOO,dễ,1.0,1.0,0.0,37
ReWOO,khó,0.9454545454545454,0.9719626168224299,0.018867924528301886,55
Reflexion,dễ,1.0,1.0,0.0,37
Reflexion,khó,0.9818181818181818,0.9908256880733944,0.01818181818181818,55
Multi-Agent,dễ,0.918918918918919,0.9577464788732395,0.08108108108108109,37
Multi-Agent,khó,0.8727272727272727,0.9320388349514563,0.12727272727272726,55
