Agent,Difficulty,Accuracy,F1_Score,Precision,Recall,Tool_Fail_Rate,Sample_Count
React,dễ,1.0,0.6336633663366337,0.9696969696969697,0.47058823529411764,0.0,37
React,khó,0.9818181818181818,0.7257383966244726,0.9247311827956989,0.5972222222222222,0.018518518518518517,55
ReWOO,dễ,1.0,0.7636363636363637,1.0,0.6176470588235294,0.0,37
ReWOO,khó,0.9454545454545454,0.7079646017699116,0.975609756097561,0.5555555555555556,0.018867924528301886,55
Reflexion,dễ,1.0,0.7222222222222222,0.975,0.5735294117647058,0.0,37
Reflexion,khó,0.9818181818181818,0.7591836734693878,0.9207920792079208,0.6458333333333334,0.01818181818181818,55
Multi-Agent,dễ,0.918918918918919,0.7906976744186047,0.6538461538461539,1.0,0.08108108108108109,37
Multi-Agent,khó,0.8727272727272727,0.7409470752089137,0.6186046511627907,0.9236111111111112,0.12727272727272726,55
